industry_name,employer_name,filer_name,total_donations,total_donation_amount,total_donors
BIOTECH,DYNAVAX TECHNOLOGIES,DEAN PRESTON FOR SUPERVISOR 2019,1,500,1
REAL ESTATE (REALTOR),TRINITY PROPERTIES,VOTE VALLIE BROWN FOR SUPERVISOR 2019,1,500,1
BIOTECH,LYELL,DEAN PRESTON FOR SUPERVISOR 2019,1,500,1
TECH,LEAPYEAR,DEAN PRESTON FOR SUPERVISOR 2019,5,295,1
REAL ESTATE (INVESTMENT),URBAN GROUP REAL ESTATE,DEAN PRESTON FOR SUPERVISOR 2019,1,200,1
HEALTHCARE (PROVIDER),BAY REA HEALTHCARE CENTER,VOTE VALLIE BROWN FOR SUPERVISOR 2019,1,500,1
CONSULTING (DESIGN/ENGINEERING),FEHR AND PEERS,VOTE VALLIE BROWN FOR SUPERVISOR 2019,1,100,1
SELF-EMPLOYED,D'S DAWGS,VOTE VALLIE BROWN FOR SUPERVISOR 2019,1,500,1
EDUCATION,PORTLAND PUBLIC SCHOOLS,DEAN PRESTON FOR SUPERVISOR 2019,2,500,1
NA,50+1 STRATEGIES,VOTE VALLIE BROWN FOR SUPERVISOR 2019,1,100,1
FINANCE,NORTHERN CALIFORNIA COMMUNITY LOAN FUND,VOTE VALLIE BROWN FOR SUPERVISOR 2019,1,100,1
EDUCATION,LAWRENCE BERKELEY LAB,VOTE VALLIE BROWN FOR SUPERVISOR 2019,2,500,1
CONSULTING (BUSINESS),ALFRED WILLIAMS CONSULTANCY,VOTE VALLIE BROWN FOR SUPERVISOR 2019,1,500,1
REAL ESTATE (REALTOR),ALAIN PINEL REALTORS,DEAN PRESTON FOR SUPERVISOR 2019,1,100,1
NON-PROFIT (LAW),AIDS LEGAL REFERRAL PANEL,DEAN PRESTON FOR SUPERVISOR 2019,3,200,1
GOVERNMENT,UNITED STATES ENVIRONMENTAL PROTECTION AGENCY,DEAN PRESTON FOR SUPERVISOR 2019,1,200,1
PRIVATE LAW,BOOMERANG LITIGATION SERVICES,VOTE VALLIE BROWN FOR SUPERVISOR 2019,1,500,1
TECH,COINBASE,DEAN PRESTON FOR SUPERVISOR 2019,1,200,1
NON-PROFIT (LAW),LEGAL ASSISTANCE TO THE ELDERLY,DEAN PRESTON FOR SUPERVISOR 2019,1,500,1
GOVERNMENT,COUNTY OF SANTA CLARA,DEAN PRESTON FOR SUPERVISOR 2019,3,500,1
CONSULTING (POLITICS),THE ADRIEL HAMPTON GROUP,DEAN PRESTON FOR SUPERVISOR 2019,3,500,1
MEDIA,INSIGHT MEDIA,VOTE VALLIE BROWN FOR SUPERVISOR 2019,2,200,1
TECH,SLACK TECHNOLOGIES,DEAN PRESTON FOR SUPERVISOR 2019,1,200,1
TECH,ORACLE,VOTE VALLIE BROWN FOR SUPERVISOR 2019,1,500,1
FINANCE,RIAZ CAPITAL,VOTE VALLIE BROWN FOR SUPERVISOR 2019,1,500,1
NON-PROFIT (COMMUNITY),FORT MASON CENTER,VOTE VALLIE BROWN FOR SUPERVISOR 2019,1,250,1
NON-PROFIT (COMMUNITY),JAPANESE CULTURAL AND COMMUNITY CENTER OF NORTHERN CALIFORNIA,DEAN PRESTON FOR SUPERVISOR 2019,1,500,1
NON-PROFIT (ADVOCACY),SAN FRANCISCO TENANTS UNION,DEAN PRESTON FOR SUPERVISOR 2019,1,200,1
BUILDING TRADES,JRM CONSTRUCTION MANAGEMENT,DEAN PRESTON FOR SUPERVISOR 2019,1,500,1
REAL ESTATE (OTHER),ASSOCIATION RESERVES,VOTE VALLIE BROWN FOR SUPERVISOR 2019,1,500,1
